LR792425.1	edge_98	0.0931964	0	76/1000
NZ_CP054762.1	edge_925	0.0867434	0	88/1000
NZ_CP054768.1	edge_925	0.0867434	0	88/1000
NZ_CP054774.1	edge_925	0.0867434	0	88/1000
NZ_CP054780.1	edge_925	0.0867434	0	88/1000
NZ_CP056029.1	edge_925	0.0848014	0	92/1000
NZ_CP058960.1	edge_925	0.0877506	0	86/1000
NZ_CP060281.1	edge_925	0.080322	0	102/1000
NZ_CP061053.1	edge_925	0.0848014	0	92/1000
NZ_CP061062.1	edge_925	0.0848014	0	92/1000
NZ_FO834906.1	edge_925	0.0816138	0	99/1000
NZ_LN824133.1	edge_925	0.0834041	0	95/1000
NZ_LR025092.1	edge_925	0.0794837	0	104/1000
NZ_LR130541.1	edge_925	0.0820539	0	98/1000
NZ_LR130548.1	edge_925	0.0857608	0	90/1000
NZ_LR133964.1	edge_925	0.0816138	0	99/1000
NZ_LR134206.1	edge_925	0.0786628	0	106/1000
NZ_LR134213.1	edge_925	0.0786628	0	106/1000
NZ_LR134217.1	edge_925	0.0790711	0	105/1000
NZ_LR134280.1	edge_925	0.0794837	0	104/1000
NZ_LR588408.1	edge_925	0.0807479	0	101/1000
NZ_LR588412.1	edge_925	0.0807479	0	101/1000
NZ_LR745045.1	edge_925	0.0834041	0	95/1000
NZ_LR792628.1	edge_925	0.0816138	0	99/1000
NZ_LS399318.1	edge_925	0.0782587	0	107/1000
NZ_CP033757.1	edge_948	0.0794837	0	104/1000
NZ_LR134229.1	edge_1055	0.0987984	0	67/1000
NZ_LR134276.1	edge_1189	0.0987984	0	67/1000
AP021909.1	edge_1199	0.0974869	0	69/1000
AP021929.1	edge_1199	0.0962153	0	71/1000
AP022139.1	edge_1199	0.0987984	0	67/1000
AP022157.1	edge_1199	0.0962153	0	71/1000
CP023134.2	edge_1199	0.0981375	0	68/1000
CP027697.1	edge_1199	0.0981375	0	68/1000
CP041023.1	edge_1199	0.0968463	0	70/1000
CP042310.1	edge_1199	0.0974869	0	69/1000
CP044368.1	edge_1199	0.0994698	0	66/1000
CP044380.1	edge_1199	0.0981375	0	68/1000
CP044389.1	edge_1199	0.0987984	0	67/1000
CP050275.1	edge_1199	0.0994698	0	66/1000
CP050280.1	edge_1199	0.0987984	0	67/1000
CP050285.1	edge_1199	0.0974869	0	69/1000
CP056191.1	edge_1199	0.0937829	0	75/1000
CP056216.1	edge_1199	0.0974869	0	69/1000
CP056830.1	edge_1199	0.0981375	0	68/1000
CP056854.1	edge_1199	0.0949813	0	73/1000
CP056883.1	edge_1199	0.0981375	0	68/1000
CP057034.1	edge_1199	0.0949813	0	73/1000
CP057066.1	edge_1199	0.0955937	0	72/1000
CP057069.1	edge_1199	0.0968463	0	70/1000
CP057099.1	edge_1199	0.0949813	0	73/1000
CP057313.1	edge_1199	0.0962153	0	71/1000
CP057459.1	edge_1199	0.0994698	0	66/1000
CP059379.1	edge_1199	0.0949813	0	73/1000
LR134162.1	edge_1199	0.0987984	0	67/1000
LR134224.1	edge_1199	0.0962153	0	71/1000
LR588410.1	edge_1199	0.0955937	0	72/1000
NC_009648.1	edge_1199	0.0974869	0	69/1000
NC_016845.1	edge_1199	0.0974869	0	69/1000
NC_017540.1	edge_1199	0.0974869	0	69/1000
NC_018522.1	edge_1199	0.0974869	0	69/1000
NC_022082.1	edge_1199	0.0968463	0	70/1000
NC_022566.1	edge_1199	0.0949813	0	73/1000
NZ_AP018671.1	edge_1199	0.0987984	0	67/1000
NZ_AP018747.1	edge_1199	0.0981375	0	68/1000
NZ_AP023148.1	edge_1199	0.0987984	0	67/1000
NZ_CP003999.1	edge_1199	0.0981375	0	68/1000
NZ_CP006659.2	edge_1199	0.0987984	0	67/1000
NZ_CP006722.1	edge_1199	0.0962153	0	71/1000
NZ_CP006738.1	edge_1199	0.0968463	0	70/1000
NZ_CP006798.1	edge_1199	0.0994698	0	66/1000
NZ_CP006918.1	edge_1199	0.0968463	0	70/1000
NZ_CP006923.1	edge_1199	0.0949813	0	73/1000
NZ_CP007727.1	edge_1199	0.0974869	0	69/1000
NZ_CP007731.1	edge_1199	0.0955937	0	72/1000
NZ_CP008797.1	edge_1199	0.0981375	0	68/1000
NZ_CP008827.1	edge_1199	0.0974869	0	69/1000
NZ_CP008831.1	edge_1199	0.0968463	0	70/1000
NZ_CP009114.1	edge_1199	0.0981375	0	68/1000
NZ_CP009461.1	edge_1199	0.0949813	0	73/1000
NZ_CP009771.1	edge_1199	0.0987984	0	67/1000
NZ_CP009775.1	edge_1199	0.0987984	0	67/1000
NZ_CP009863.1	edge_1199	0.0974869	0	69/1000
NZ_CP009876.1	edge_1199	0.0994698	0	66/1000
NZ_CP010361.1	edge_1199	0.0974869	0	69/1000
NZ_CP010392.1	edge_1199	0.0974869	0	69/1000
NZ_CP011313.1	edge_1199	0.0955937	0	72/1000
NZ_CP011624.1	edge_1199	0.0949813	0	73/1000
NZ_CP011647.1	edge_1199	0.0974869	0	69/1000
NZ_CP011980.1	edge_1199	0.0968463	0	70/1000
NZ_CP011985.1	edge_1199	0.0974869	0	69/1000
NZ_CP011989.1	edge_1199	0.0974869	0	69/1000
NZ_CP012560.1	edge_1199	0.0968463	0	70/1000
NZ_CP012561.1	edge_1199	0.0968463	0	70/1000
NZ_CP012568.1	edge_1199	0.0968463	0	70/1000
NZ_CP012743.1	edge_1199	0.0974869	0	69/1000
NZ_CP012744.1	edge_1199	0.0968463	0	70/1000
NZ_CP012883.1	edge_1199	0.0955937	0	72/1000
NZ_CP012987.1	edge_1199	0.0981375	0	68/1000
NZ_CP012992.1	edge_1199	0.0981375	0	68/1000
NZ_CP013711.1	edge_1199	0.0981375	0	68/1000
NZ_CP014004.1	edge_1199	0.0994698	0	66/1000
NZ_CP014008.1	edge_1199	0.0955937	0	72/1000
NZ_CP014010.1	edge_1199	0.0987984	0	67/1000
NZ_CP014294.1	edge_1199	0.0981375	0	68/1000
NZ_CP014647.1	edge_1199	0.0981375	0	68/1000
NZ_CP014762.1	edge_1199	0.0974869	0	69/1000
NZ_CP015130.1	edge_1199	0.0931964	0	76/1000
NZ_CP015134.1	edge_1199	0.0974869	0	69/1000
NZ_CP015382.1	edge_1199	0.0994698	0	66/1000
NZ_CP015385.1	edge_1199	0.0974869	0	69/1000
NZ_CP015822.1	edge_1199	0.0974869	0	69/1000
NZ_CP016159.1	edge_1199	0.0974869	0	69/1000
NZ_CP016811.1	edge_1199	0.0943778	0	74/1000
NZ_CP016813.1	edge_1199	0.0981375	0	68/1000
NZ_CP016814.1	edge_1199	0.0981375	0	68/1000
NZ_CP016923.1	edge_1199	0.0994698	0	66/1000
NZ_CP016926.1	edge_1199	0.0981375	0	68/1000
NZ_CP017934.1	edge_1199	0.0994698	0	66/1000
NZ_CP018056.1	edge_1199	0.0994698	0	66/1000
NZ_CP018306.1	edge_1199	0.0987984	0	67/1000
NZ_CP018337.1	edge_1199	0.0949813	0	73/1000
NZ_CP018352.1	edge_1199	0.0949813	0	73/1000
NZ_CP018438.1	edge_1199	0.0974869	0	69/1000
NZ_CP018447.1	edge_1199	0.0994698	0	66/1000
NZ_CP018450.1	edge_1199	0.0994698	0	66/1000
NZ_CP018454.1	edge_1199	0.0987984	0	67/1000
NZ_CP018671.1	edge_1199	0.0987984	0	67/1000
NZ_CP018676.1	edge_1199	0.0949813	0	73/1000
NZ_CP018692.1	edge_1199	0.0974869	0	69/1000
NZ_CP018816.1	edge_1199	0.0987984	0	67/1000
NZ_CP018883.1	edge_1199	0.0968463	0	70/1000
NZ_CP018885.1	edge_1199	0.0974869	0	69/1000
NZ_CP019047.1	edge_1199	0.0974869	0	69/1000
NZ_CP019219.1	edge_1199	0.0974869	0	69/1000
NZ_CP020061.1	edge_1199	0.0981375	0	68/1000
NZ_CP020067.1	edge_1199	0.0994698	0	66/1000
NZ_CP020071.1	edge_1199	0.0974869	0	69/1000
NZ_CP020108.1	edge_1199	0.0981375	0	68/1000
NZ_CP020498.1	edge_1199	0.0968463	0	70/1000
NZ_CP020837.1	edge_1199	0.0987984	0	67/1000
NZ_CP020841.1	edge_1199	0.0987984	0	67/1000
NZ_CP020853.1	edge_1199	0.0994698	0	66/1000
NZ_CP021165.1	edge_1199	0.0943778	0	74/1000
NZ_CP021539.1	edge_1199	0.0974869	0	69/1000
NZ_CP021549.1	edge_1199	0.0974869	0	69/1000
NZ_CP021685.1	edge_1199	0.0974869	0	69/1000
NZ_CP021696.1	edge_1199	0.0937829	0	75/1000
NZ_CP021708.1	edge_1199	0.0994698	0	66/1000
NZ_CP021718.1	edge_1199	0.0974869	0	69/1000
NZ_CP021740.1	edge_1199	0.0994698	0	66/1000
NZ_CP021751.1	edge_1199	0.0974869	0	69/1000
NZ_CP021833.1	edge_1199	0.0987984	0	67/1000
NZ_CP021859.1	edge_1199	0.0968463	0	70/1000
NZ_CP021950.1	edge_1199	0.0974869	0	69/1000
NZ_CP021955.1	edge_1199	0.0974869	0	69/1000
NZ_CP021960.1	edge_1199	0.0987984	0	67/1000
NZ_CP022023.1	edge_1199	0.0987984	0	67/1000
NZ_CP022573.1	edge_1199	0.0981375	0	68/1000
NZ_CP022611.1	edge_1199	0.0994698	0	66/1000
NZ_CP022691.2	edge_1199	0.0987984	0	67/1000
NZ_CP022882.1	edge_1199	0.0987984	0	67/1000
NZ_CP022922.1	edge_1199	0.0968463	0	70/1000
NZ_CP022924.1	edge_1199	0.0968463	0	70/1000
NZ_CP022997.1	edge_1199	0.0987984	0	67/1000
NZ_CP023249.1	edge_1199	0.0987984	0	67/1000
NZ_CP023416.1	edge_1199	0.0974869	0	69/1000
NZ_CP023487.1	edge_1199	0.0994698	0	66/1000
NZ_CP023722.1	edge_1199	0.0987984	0	67/1000
NZ_CP023913.1	edge_1199	0.0987984	0	67/1000
NZ_CP023941.1	edge_1199	0.0994698	0	66/1000
NZ_CP023946.1	edge_1199	0.0987984	0	67/1000
NZ_CP024038.1	edge_1199	0.0968463	0	70/1000
NZ_CP024191.1	edge_1199	0.0974869	0	69/1000
NZ_CP024458.1	edge_1199	0.0987984	0	67/1000
NZ_CP024482.1	edge_1199	0.0962153	0	71/1000
NZ_CP024489.1	edge_1199	0.0987984	0	67/1000
NZ_CP024499.1	edge_1199	0.0981375	0	68/1000
NZ_CP024504.1	edge_1199	0.0981375	0	68/1000
NZ_CP024515.1	edge_1199	0.0981375	0	68/1000
NZ_CP024521.1	edge_1199	0.0974869	0	69/1000
NZ_CP024528.1	edge_1199	0.0974869	0	69/1000
NZ_CP024535.1	edge_1199	0.0968463	0	70/1000
NZ_CP024542.1	edge_1199	0.0981375	0	68/1000
NZ_CP024545.1	edge_1199	0.0981375	0	68/1000
NZ_CP024548.1	edge_1199	0.0981375	0	68/1000
NZ_CP024549.1	edge_1199	0.0974869	0	69/1000
NZ_CP024563.1	edge_1199	0.0974869	0	69/1000
NZ_CP024570.1	edge_1199	0.0974869	0	69/1000
NZ_CP025005.1	edge_1199	0.0974869	0	69/1000
NZ_CP025008.1	edge_1199	0.0987984	0	67/1000
NZ_CP025037.1	edge_1199	0.0987984	0	67/1000
NZ_CP025080.1	edge_1199	0.0987984	0	67/1000
NZ_CP025140.1	edge_1199	0.0974869	0	69/1000
NZ_CP025143.1	edge_1199	0.0974869	0	69/1000
NZ_CP025146.1	edge_1199	0.0974869	0	69/1000
NZ_CP025211.1	edge_1199	0.0981375	0	68/1000
NZ_CP025456.1	edge_1199	0.0987984	0	67/1000
NZ_CP025541.3	edge_1199	0.0981375	0	68/1000
NZ_CP025576.1	edge_1199	0.0974869	0	69/1000
NZ_CP025684.1	edge_1199	0.0943778	0	74/1000
NZ_CP026011.1	edge_1199	0.0968463	0	70/1000
NZ_CP026021.1	edge_1199	0.0968463	0	70/1000
NZ_CP026130.1	edge_1199	0.0987984	0	67/1000
NZ_CP026132.1	edge_1199	0.0987984	0	67/1000
NZ_CP026136.1	edge_1199	0.0987984	0	67/1000
NZ_CP026140.1	edge_1199	0.0987984	0	67/1000
NZ_CP026145.1	edge_1199	0.0987984	0	67/1000
NZ_CP026153.1	edge_1199	0.0981375	0	68/1000
NZ_CP026157.1	edge_1199	0.0949813	0	73/1000
NZ_CP026159.1	edge_1199	0.0955937	0	72/1000
NZ_CP026160.1	edge_1199	0.0968463	0	70/1000
NZ_CP026164.1	edge_1199	0.0981375	0	68/1000
NZ_CP026177.1	edge_1199	0.0968463	0	70/1000
NZ_CP026178.1	edge_1199	0.0994698	0	66/1000
NZ_CP026392.1	edge_1199	0.0962153	0	71/1000
NZ_CP026495.1	edge_1199	0.0962153	0	71/1000
NZ_CP026585.2	edge_1199	0.0994698	0	66/1000
NZ_CP026586.1	edge_1199	0.0968463	0	70/1000
NZ_CP026751.1	edge_1199	0.0994698	0	66/1000
NZ_CP027042.1	edge_1199	0.0987984	0	67/1000
NZ_CP027048.1	edge_1199	0.0974869	0	69/1000
NZ_CP027053.1	edge_1199	0.0987984	0	67/1000
NZ_CP027146.1	edge_1199	0.0968463	0	70/1000
NZ_CP027189.1	edge_1199	0.0987984	0	67/1000
NZ_CP027612.1	edge_1199	0.0955937	0	72/1000
NZ_CP028176.1	edge_1199	0.0987984	0	67/1000
NZ_CP028391.1	edge_1199	0.0968463	0	70/1000
NZ_CP028542.2	edge_1199	0.0987984	0	67/1000
NZ_CP028548.1	edge_1199	0.0987984	0	67/1000
NZ_CP028583.1	edge_1199	0.0987984	0	67/1000
NZ_CP028793.1	edge_1199	0.0974869	0	69/1000
NZ_CP028953.1	edge_1199	0.0949813	0	73/1000
NZ_CP028990.1	edge_1199	0.0949813	0	73/1000
NZ_CP029099.1	edge_1199	0.0974869	0	69/1000
NZ_CP029384.1	edge_1199	0.0987984	0	67/1000
NZ_CP029587.1	edge_1199	0.0962153	0	71/1000
NZ_CP029590.1	edge_1199	0.0962153	0	71/1000
NZ_CP029689.1	edge_1199	0.0987984	0	67/1000
NZ_CP029722.1	edge_1199	0.0949813	0	73/1000
NZ_CP029738.1	edge_1199	0.0968463	0	70/1000
NZ_CP030070.1	edge_1199	0.0981375	0	68/1000
NZ_CP030172.1	edge_1199	0.0968463	0	70/1000
NZ_CP030269.1	edge_1199	0.0974869	0	69/1000
NZ_CP030341.1	edge_1199	0.0974869	0	69/1000
NZ_CP030923.1	edge_1199	0.0974869	0	69/1000
NZ_CP031368.1	edge_1199	0.0994698	0	66/1000
NZ_CP031562.1	edge_1199	0.0968463	0	70/1000
NZ_CP031721.1	edge_1199	0.0981375	0	68/1000
NZ_CP031734.1	edge_1199	0.0994698	0	66/1000
NZ_CP031789.1	edge_1199	0.0955937	0	72/1000
NZ_CP031792.1	edge_1199	0.0962153	0	71/1000
NZ_CP031795.1	edge_1199	0.0987984	0	67/1000
NZ_CP031798.1	edge_1199	0.0974869	0	69/1000
NZ_CP031800.1	edge_1199	0.0981375	0	68/1000
NZ_CP031808.1	edge_1199	0.0949813	0	73/1000
NZ_CP031810.1	edge_1199	0.0987984	0	67/1000
NZ_CP031817.1	edge_1199	0.0937829	0	75/1000
NZ_CP031849.1	edge_1199	0.0981375	0	68/1000
NZ_CP031885.1	edge_1199	0.0994698	0	66/1000
NZ_CP032163.1	edge_1199	0.0974869	0	69/1000
NZ_CP032167.1	edge_1199	0.0949813	0	73/1000
NZ_CP032175.1	edge_1199	0.0968463	0	70/1000
NZ_CP032185.1	edge_1199	0.0968463	0	70/1000
NZ_CP032200.1	edge_1199	0.0981375	0	68/1000
NZ_CP032222.1	edge_1199	0.0987984	0	67/1000
NZ_CP032240.1	edge_1199	0.0987984	0	67/1000
NZ_CP032833.1	edge_1199	0.0981375	0	68/1000
NZ_CP033396.1	edge_1199	0.0987984	0	67/1000
NZ_CP033625.1	edge_1199	0.0981375	0	68/1000
NZ_CP033756.1	edge_1199	0.0949813	0	73/1000
NZ_CP033946.1	edge_1199	0.0968463	0	70/1000
NZ_CP033954.1	edge_1199	0.0987984	0	67/1000
NZ_CP033960.1	edge_1199	0.0987984	0	67/1000
NZ_CP034039.1	edge_1199	0.0994698	0	66/1000
NZ_CP034082.1	edge_1199	0.0987984	0	67/1000
NZ_CP034200.1	edge_1199	0.0968463	0	70/1000
NZ_CP034281.1	edge_1199	0.0981375	0	68/1000
NZ_CP034321.1	edge_1199	0.0968463	0	70/1000
NZ_CP034327.1	edge_1199	0.0987984	0	67/1000
NZ_CP034408.1	edge_1199	0.0994698	0	66/1000
NZ_CP034778.1	edge_1199	0.0987984	0	67/1000
NZ_CP035194.1	edge_1199	0.0943778	0	74/1000
NZ_CP035196.1	edge_1199	0.0937829	0	75/1000
NZ_CP035202.1	edge_1199	0.0974869	0	69/1000
NZ_CP035383.1	edge_1199	0.0987984	0	67/1000
NZ_CP035531.1	edge_1199	0.0955937	0	72/1000
NZ_CP035540.1	edge_1199	0.0974869	0	69/1000
NZ_CP035905.1	edge_1199	0.0987984	0	67/1000
NZ_CP035929.1	edge_1199	0.0987984	0	67/1000
NZ_CP036190.1	edge_1199	0.0987984	0	67/1000
NZ_CP036300.1	edge_1199	0.0994698	0	66/1000
NZ_CP036320.1	edge_1199	0.0981375	0	68/1000
NZ_CP036361.1	edge_1199	0.0987984	0	67/1000
NZ_CP036365.1	edge_1199	0.0987984	0	67/1000
NZ_CP036371.1	edge_1199	0.0987984	0	67/1000
NZ_CP036438.1	edge_1199	0.0974869	0	69/1000
NZ_CP036450.1	edge_1199	0.0974869	0	69/1000
NZ_CP037742.1	edge_1199	0.0974869	0	69/1000
NZ_CP037928.1	edge_1199	0.0974869	0	69/1000
NZ_CP039524.1	edge_1199	0.0987984	0	67/1000
NZ_CP039808.1	edge_1199	0.0994698	0	66/1000
NZ_CP039819.1	edge_1199	0.0987984	0	67/1000
NZ_CP039936.1	edge_1199	0.0974869	0	69/1000
NZ_CP039939.1	edge_1199	0.0974869	0	69/1000
NZ_CP039942.1	edge_1199	0.0974869	0	69/1000
NZ_CP039948.1	edge_1199	0.0974869	0	69/1000
NZ_CP039951.1	edge_1199	0.0981375	0	68/1000
NZ_CP039954.1	edge_1199	0.0974869	0	69/1000
NZ_CP039957.1	edge_1199	0.0974869	0	69/1000
NZ_CP039960.1	edge_1199	0.0974869	0	69/1000
NZ_CP040023.1	edge_1199	0.0974869	0	69/1000
NZ_CP040038.1	edge_1199	0.0974869	0	69/1000
NZ_CP040122.1	edge_1199	0.0987984	0	67/1000
NZ_CP040175.1	edge_1199	0.0981375	0	68/1000
NZ_CP040363.1	edge_1199	0.0943778	0	74/1000
NZ_CP040391.1	edge_1199	0.0981375	0	68/1000
NZ_CP040861.1	edge_1199	0.0974869	0	69/1000
NZ_CP040993.1	edge_1199	0.0968463	0	70/1000
NZ_CP041022.1	edge_1199	0.0968463	0	70/1000
NZ_CP041082.1	edge_1199	0.0994698	0	66/1000
NZ_CP041092.1	edge_1199	0.0955937	0	72/1000
NZ_CP041099.1	edge_1199	0.0994698	0	66/1000
NZ_CP041353.1	edge_1199	0.0949813	0	73/1000
NZ_CP041373.1	edge_1199	0.0994698	0	66/1000
NZ_CP041644.1	edge_1199	0.0987984	0	67/1000
NZ_CP041927.1	edge_1199	0.0955937	0	72/1000
NZ_CP041934.1	edge_1199	0.0987984	0	67/1000
NZ_CP041946.1	edge_1199	0.0968463	0	70/1000
NZ_CP042309.1	edge_1199	0.0962153	0	71/1000
NZ_CP042311.1	edge_1199	0.0974869	0	69/1000
NZ_CP042315.1	edge_1199	0.0955937	0	72/1000
NZ_CP042318.1	edge_1199	0.0968463	0	70/1000
NZ_CP042481.1	edge_1199	0.0955937	0	72/1000
NZ_CP042520.1	edge_1199	0.0955937	0	72/1000
NZ_CP042882.1	edge_1199	0.0994698	0	66/1000
NZ_CP042977.1	edge_1199	0.0949813	0	73/1000
NZ_CP043047.1	edge_1199	0.0987984	0	67/1000
NZ_CP043562.1	edge_1199	0.0987984	0	67/1000
NZ_CP044033.1	edge_1199	0.0968463	0	70/1000
NZ_CP044047.1	edge_1199	0.0974869	0	69/1000
NZ_CP045015.1	edge_1199	0.0955937	0	72/1000
NZ_CP045193.1	edge_1199	0.0981375	0	68/1000
NZ_CP045263.1	edge_1199	0.0987984	0	67/1000
NZ_CP045661.1	edge_1199	0.0987984	0	67/1000
NZ_CP045782.1	edge_1199	0.0962153	0	71/1000
NZ_CP046612.1	edge_1199	0.0987984	0	67/1000
NZ_CP047160.1	edge_1199	0.0987984	0	67/1000
NZ_CP047336.1	edge_1199	0.0981375	0	68/1000
NZ_CP047633.1	edge_1199	0.0981375	0	68/1000
NZ_CP047648.1	edge_1199	0.0974869	0	69/1000
NZ_CP047649.1	edge_1199	0.0981375	0	68/1000
NZ_CP047675.1	edge_1199	0.0974869	0	69/1000
NZ_CP047677.1	edge_1199	0.0974869	0	69/1000
NZ_CP048430.1	edge_1199	0.0987984	0	67/1000
NZ_CP048933.1	edge_1199	0.0987984	0	67/1000
NZ_CP049716.1	edge_1199	0.0974869	0	69/1000
NZ_CP049719.1	edge_1199	0.0974869	0	69/1000
NZ_CP049947.1	edge_1199	0.0974869	0	69/1000
NZ_CP049950.1	edge_1199	0.0974869	0	69/1000
NZ_CP049953.1	edge_1199	0.0974869	0	69/1000
NZ_CP050371.1	edge_1199	0.0974869	0	69/1000
NZ_CP050822.1	edge_1199	0.0943778	0	74/1000
NZ_CP050826.1	edge_1199	0.0962153	0	71/1000
NZ_CP050840.1	edge_1199	0.0987984	0	67/1000
NZ_CP050843.1	edge_1199	0.0968463	0	70/1000
NZ_CP050845.1	edge_1199	0.0955937	0	72/1000
NZ_CP050858.1	edge_1199	0.0987984	0	67/1000
NZ_CP051159.1	edge_1199	0.0974869	0	69/1000
NZ_CP051160.1	edge_1199	0.0974869	0	69/1000
NZ_CP051161.1	edge_1199	0.0981375	0	68/1000
NZ_CP053364.1	edge_1199	0.0987984	0	67/1000
NZ_CP053765.1	edge_1199	0.0994698	0	66/1000
NZ_CP053771.1	edge_1199	0.0994698	0	66/1000
NZ_CP054268.1	edge_1199	0.0974869	0	69/1000
NZ_CP054720.1	edge_1199	0.0981375	0	68/1000
NZ_CP054726.1	edge_1199	0.0981375	0	68/1000
NZ_CP054732.1	edge_1199	0.0981375	0	68/1000
NZ_CP054738.1	edge_1199	0.0981375	0	68/1000
NZ_CP054750.1	edge_1199	0.0981375	0	68/1000
NZ_CP054756.1	edge_1199	0.0981375	0	68/1000
NZ_CP054762.1	edge_1199	0.0981375	0	68/1000
NZ_CP054768.1	edge_1199	0.0981375	0	68/1000
NZ_CP054774.1	edge_1199	0.0981375	0	68/1000
NZ_CP054780.1	edge_1199	0.0981375	0	68/1000
NZ_CP056029.1	edge_1199	0.0974869	0	69/1000
NZ_CP058960.1	edge_1199	0.0987984	0	67/1000
NZ_CP060281.1	edge_1199	0.0974869	0	69/1000
NZ_FO834906.1	edge_1199	0.0981375	0	68/1000
NZ_LR025092.1	edge_1199	0.0955937	0	72/1000
NZ_LR130541.1	edge_1199	0.0962153	0	71/1000
NZ_LR130548.1	edge_1199	0.0974869	0	69/1000
NZ_LR133964.1	edge_1199	0.0968463	0	70/1000
NZ_LR134206.1	edge_1199	0.0968463	0	70/1000
NZ_LR134213.1	edge_1199	0.0981375	0	68/1000
NZ_LR134217.1	edge_1199	0.0968463	0	70/1000
NZ_LR134280.1	edge_1199	0.0949813	0	73/1000
NZ_LR588408.1	edge_1199	0.0955937	0	72/1000
NZ_LR588412.1	edge_1199	0.0974869	0	69/1000
NZ_LR745045.1	edge_1199	0.0968463	0	70/1000
NZ_LR792628.1	edge_1199	0.0974869	0	69/1000
NZ_LS399318.1	edge_1199	0.0949813	0	73/1000
LR792425.1	edge_1284	0.0790711	0	105/1000
AP021929.1	edge_1303	0.0994698	0	66/1000
NZ_AP023148.1	edge_1303	0.0974869	0	69/1000
NZ_CP015134.1	edge_1303	0.0994698	0	66/1000
NZ_CP032833.1	edge_1303	0.0974869	0	69/1000
NZ_CP035196.1	edge_1303	0.0981375	0	68/1000
NZ_CP050840.1	edge_1303	0.0994698	0	66/1000
NZ_CP050845.1	edge_1303	0.0994698	0	66/1000
LR792428.1	edge_1881	0.0962153	0	71/1000
NZ_LR134210.1	edge_2066	0.0740698	0	118/1000
CP025713.1	edge_2258	0.0613264	0	160/1000
CP025713.1	edge_2259	0.0786628	0	106/1000
LR792423.1	edge_3533	0.0824989	0	97/1000
LR792493.1	edge_3533	0.0799006	0	103/1000
LR792416.1	edge_3648	0.0511448	0	206/1000
LR792468.1	edge_3649	0.0799006	0	103/1000
NC_020182.1	edge_3654	0.000483446	0	980/1000
LR595876.2	edge_3781	0.0968463	0	70/1000
LR595876.2	edge_3936	0.0937829	0	75/1000
LR792487.1	edge_3983	0.0931964	0	76/1000
LR792487.1	edge_4015	0.0949813	0	73/1000
